,track_id,combo
271,7IL8PSVwLOJxqYne6azxQv,alt-rock alternative
272,2bDENJyfbxj0neGiXUFvIX,alt-rock alternative hard-rock
273,3d9DChrdc6BOeFsbrZ3Is0,alt-rock alternative funk metal
274,3ZOEytgrvLwQaqXreDs2Jx,alt-rock alternative funk metal
275,0XsYX3MLhyIW2nmMiJjGN2,alt-rock alternative
276,2ZUyxzeqj11CBJwZbnYgb8,alt-rock alternative indie-pop indie
277,0a0ojBktF5aWS7Cdjf4rTA,alt-rock alternative indie-pop indie
278,0VubuUqnJDOm2pD144598j,alt-rock alternative indie-pop indie
279,5IEYuPuSbReekSa8Jvx51t,alt-rock alternative indie-pop indie
280,00gxx5tCbWPxr76vGNED8B,alt-rock alternative indie-pop indie
281,0WBKz2TSI4OEAWZnnX5Jzl,alt-rock alternative indie-pop indie
282,4haXv9IJwOlJJsT6FNJPYk,alt-rock alternative emo power-pop punk-rock punk
283,7B0r4rRL37jsjGFualPIyF,alt-rock alternative
284,424WY6p8kPClokqegSpJfV,alt-rock alternative hard-rock industrial metal
285,5G4roC38WFtOEF5Jo7vLUR,alt-rock alternative hard-rock industrial metal
286,4ZbIwC19U5soz0akMfbUqD,alt-rock alternative hard-rock industrial metal
287,4vvCo9Lxak9UqHVOyFmjFT,alt-rock alternative hard-rock industrial metal
288,1ABzvnkHLpLaIN7VlB00LJ,alt-rock alternative electro funk latin latino
289,1nQYbtP8RwXxA7DwW6Kn38,alt-rock alternative hard-rock industrial metal
290,6AY2zdaF4LJykDhGGE4nv6,alt-rock alternative hard-rock industrial metal
291,0X2rK2dB3aEGw1KOK0ioAL,alt-rock alternative hard-rock industrial metal
292,6q0hRmeFLlRB25616BLhgy,alt-rock alternative hard-rock industrial metal
293,6VNgUdPze583ZMIqe9EAyF,alt-rock alternative hard-rock industrial metal
294,5vp6CNekMfEWWi8FtqUlKx,alt-rock alternative hard-rock industrial metal
295,7uhmQXCmglHzUEUA0ch9mh,alt-rock alternative hard-rock industrial metal
296,2AMjuIoFxAYnQ5PWrRceOP,alt-rock alternative hard-rock industrial metal
297,2TDtt2AF6IR5iTmVrCM1u8,alt-rock alternative hard-rock industrial metal
298,2i0hWBMyrOXnGv3jWji0Lw,alt-rock alternative hard-rock industrial metal
299,7y5uK11sbFNiNEafUvntSL,alt-rock alternative hard-rock industrial metal
300,0ojuDHW8XG17heZBJHQyXJ,alt-rock alternative hard-rock industrial metal
301,3jcMkuNGMExEorJSML33D9,alt-rock alternative hard-rock industrial metal
302,1fDFHXcykq4iw8Gg7s5hG9,alt-rock alternative
303,1LzNfuep1bnAUR9skqdHCK,alt-rock alternative
304,5W8YXBz9MTIDyrpYaCg2Ky,alt-rock alternative metal
305,424GDxARRXRaZ7Mla9EDI2,alt-rock alternative blues
306,3cfOd4CMv2snFaKAnMdnvK,alt-rock alternative
307,6Up545NUflOiXo8cEraH49,alt-rock alternative
308,3TgMcrV32NUKjEG2ujn9eh,alt-rock alternative
309,2uLtcnTKpk0FFdNbqhT7tH,alt-rock alternative
310,2eXoWAL6kC9sdlpdOGvSCw,alt-rock alternative grunge metal
311,5S9KnOMLC5vRckzbvzasEs,alt-rock alternative funk grunge metal
312,5pIXg8cywRwdTyFeVsWtht,alt-rock alternative funk grunge metal
313,2f14KQkkTTPbqjkBySHhwA,alt-rock alternative blues garage
314,0ivAXyBo7oud7Xkffq4aLG,alt-rock alternative blues garage
315,67pfgJfLwgY17o31SpisHw,alt-rock alternative latin
316,0JTDayhfakCBhqdaIj9dfx,alt-rock alternative latin
317,3T5o2gOsExc13J9yfo1sPF,alt-rock alternative blues garage
318,2aewgnU4FvXgiML6qKLkJW,alt-rock alternative latin
319,6NXIFaZ5a9rtnhF7GAHF0U,alt-rock alternative r-n-b
320,4OEbwdy2hgYXxShjhLtF0e,alt-rock alternative
321,1PYe4YkKMsZ4JdvEZYBE6m,alt-rock alternative r-n-b
322,3NSLr0b5MRGgLM298WQjMZ,alt-rock alternative latin
323,67tATduRRXN0FrbOeyxyuH,alt-rock alternative r-n-b
324,5XEYNhZdOT7QUfoXxVSdbu,alt-rock alternative r-n-b
325,34LcvhvuO7RIX0JzSw8FNe,alt-rock alternative
326,4ckTIXFjIHbZkK1HxisLFG,alt-rock alternative
327,0KzAbK6nItSqNh8q70tb0K,alt-rock alternative
328,7aUuoq4oMfLxaLa5GVUDHi,alt-rock alternative
329,1b7DozY0xHWXU1T84Lck1z,alt-rock alternative
330,7omxuGYsym1n2RlVf86OF9,alt-rock alternative
331,0eNfURq0r0oNSwFyw1VuVT,alt-rock alternative
332,7wCmS9TTVUcIhRalDYFgPy,alt-rock alternative
333,4gi2kndWShH9kDbb9kBfs6,alt-rock alternative
334,5UWwZ5lm5PKu6eKsHAGxOk,alt-rock alternative grunge metal
335,57iDDD9N9tTWe75x6qhStw,alt-rock alternative r-n-b
336,5Gs6NY7QTgEq77V3DtPagv,alt-rock alternative blues hard-rock
337,3CMA6bdFwobZpvStfR2jls,alt-rock alternative blues garage hard-rock
338,4JuKzBOcFT6ZDX1bINNI1C,alt-rock alternative blues garage hard-rock
339,7em6T7mETpDEzyPg2UArtk,alt-rock alternative blues garage hard-rock
340,54RIrgjhCmUvAwmUuDqJTA,alt-rock alternative blues garage hard-rock
341,7JOIlJ9KSPIr8SRK4zl8zj,alt-rock alternative blues garage hard-rock
342,5Zk9paAVhGvRR1N0s3e0BA,alt-rock alternative blues garage hard-rock
343,5zLtABAGH8rxBXOyEgqCgl,alt-rock alternative blues garage hard-rock
344,0xD23i0X1WjqMSYIxRfO80,alt-rock alternative
345,7lGKEWMXVWWTt3X71Bv44I,alt-rock alternative
346,3eHYnUFpEZjnTQag1EVxHC,alt-rock alternative punk-rock punk
347,0815caqt2Lytro5EIzMufT,alt-rock alternative grunge metal
348,35lxFAny9XDBkvE6r9j4uG,alt-rock alternative
349,6G8xvLFNkXy3HM5EbQI6c8,alt-rock alternative indie-pop
350,12g9IeQzX7xECLNxz8dpb5,alt-rock alternative
351,5M5TD1Tlpcgq0Fj1l6Mz6Z,alt-rock alternative
352,46gSk82duJtX3TTA182ruG,alt-rock alternative
353,0ADZ5dmXhlfzjMw6lefoPl,alt-rock alternative grunge metal
354,5gRcv46AMTrosmTOqrOV3Q,alt-rock alternative
355,40lKptao1hxVqA7fd1OOGp,alt-rock alternative world-music
356,5O9Dz0h08LuBi0aVvDcylh,alt-rock alternative metal
357,5VUQsLff8A3ruAyCdTxqzg,alt-rock alternative
358,40ozK0lCJ0EQzVGWsCNUhk,alt-rock alternative world-music
359,59WN2psjkt1tyaxjspN8fp,alt-rock alternative funk metal
360,35BubUYbG7gQfwnVkg58zW,alt-rock alternative indie-pop indie
361,7EcqMNBI50oElY49no2wYY,alt-rock alternative
362,4ITIaQ64inKaI9rjRoNcLo,alt-rock alternative
363,5QcBkYPvcuDm0AYGYj0Y1h,alt-rock alternative
364,4BRlQ27PLKJtgnWGFISxOM,alt-rock alternative
365,5KZl7Cymt0Vm6ol0ErO2Sp,alt-rock alternative
366,6bKJa5bORXxWaEZUroSni7,alt-rock alternative
367,7pluJ15vmT0NZdX2lmIbBI,alt-rock alternative grunge
368,0lNqNCVlSxOCKmGgGu2UJf,alt-rock alternative
369,0wwurbloAiMd8CcLUuZJxB,alt-rock alternative
370,3To5owsnumbjenW1G5j0VK,alt-rock alternative hard-rock hardcore latin ska
371,5gRjZANENPGzKGrOsBIVUa,alt-rock alternative grunge metal
372,1uOe9m9bAiAY4kGnGDu1Ns,alt-rock alternative hard-rock hardcore latin ska
